place,title,coverage
qsr-place:2656,1 Almont Gardens,"-43.5167,172.7202"
qsr-place:913,1 Bainton Street,"-43.4892,172.5941"
qsr-place:1282,1 Bowhill Road,"-43.4954,172.7261"
qsr-place:1705,1 Bridle Path Road,"-43.5849,172.7064"
qsr-place:817,1 Clonbern Place,"-43.5270,172.5771"
qsr-place:293,1 Conference Street,"-43.5231,172.6308"
qsr-place:115,1 Eversleigh Street,"-43.5169,172.6329"
qsr-place:516,1 Gayhurst Road,"-43.5213,172.6728"
qsr-place:1649,1 Gladstone Quay,"-43.6041,172.7231"
qsr-place:537,1 Kokopu Lane,"-43.5181,172.7225"
qsr-place:1320,1 Lois Place,"-43.5186,172.6640"
qsr-place:2069,1 London Street,"-43.6030,172.7224"
qsr-place:105,1 Main North Road,"-43.4968,172.6077"
qsr-place:590,1 Moncrieff Place,"-43.5017,172.6742"
qsr-place:1137,1 Norwich Quay,"-43.6043,172.7227"
qsr-place:123,1 Papanui Road,"-43.5205,172.6275"
qsr-place:2972,1 Rimu Street,"-43.5295,172.5995"
qsr-place:2716,1 Seabreeze Close,"-43.5175,172.7206"
qsr-place:313,1 Shelley Street,"-43.5528,172.6357"
qsr-place:97,1 Sumner Road,"-43.6028,172.7230"
qsr-place:2954,1 Te Awakura Terrace,"-43.5572,172.7119"
qsr-place:2334,1 Tern Street,"-43.5518,172.7472"
qsr-place:530,1 Tilbury Place,"-43.5173,172.6781"
qsr-place:2885,1 Tweed Street,"-43.5190,172.6584"
qsr-place:2380,1 Velsheda Street,"-43.5154,172.7236"
qsr-place:1658,1 Wakefield Avenue,"-43.5687,172.7593"
qsr-place:955,1 Walker Street,"-43.3742,172.6547"
qsr-place:386,10 Acton Street,"-43.5379,172.6293"
qsr-place:1756,10 Bedford Row,"-43.5338,172.6404"
qsr-place:2123,10 Bridle Path Road,"-43.5848,172.7077"
qsr-place:851,10 Conference Street,"-43.5234,172.6310"
qsr-place:1086,10 Cranmer Square,"-43.5280,172.6296"
qsr-place:1072,10 Desmond Street,"-43.5233,172.6153"
qsr-place:850,10 Hampton Place,"-43.5114,172.5771"
qsr-place:766,10 Hood Avenue,"-43.3790,172.7039"
qsr-place:1689,10 Liverpool Street,"-43.5324,172.6410"
qsr-place:2952,10 Matai Street West,"-43.5250,172.6105"
qsr-place:2378,10 Morganwood Street,"-43.5163,172.7213"
qsr-place:1968,10 Norwich Quay,"-43.6037,172.7217"
qsr-place:2651,10 Orari Street,"-43.5120,172.7188"
qsr-place:2722,10 Otakaro Place,"-43.5175,172.7239"
qsr-place:1712,10 Shirley Road,"-43.5083,172.654"
qsr-place:926,10 Tullamore Place,"-43.4768,172.5941"
qsr-place:4,10 Wakefield Avenue,"-43.5688,172.7589"
qsr-place:2688,10 Waygreen Avenue,"-43.5008,172.7052"
qsr-place:974,100 Armagh Street,"-43.5289,172.6355"
qsr-place:1343,100 Banks Avenue,"-43.5133,172.6671"
qsr-place:1707,100 Bealey Avenue,"-43.5212,172.6339"
qsr-place:2551,100 Brighton Mall,"-43.5074,172.7281"
qsr-place:194,100 Cathedral Square,"-43.5309,172.6372"
qsr-place:1939,100 Chester Street East,"-43.5279,172.6435"
qsr-place:682,100 Gloucester Street,"-43.5300,172.6352"
qsr-place:249,100 Moorhouse Avenue,"-43.5403,172.6244"
qsr-place:250,100 Park Terrace,"-43.5239,172.6286"
qsr-place:2207,100 Peterborough Street,"-43.5256,172.6355"
qsr-place:2010,100 Victoria Street,"-43.5234,172.6301"
qsr-place:1545,1005 Ferry Road,"-43.5569,172.7013"
qsr-place:369,101 Armagh Street,"-43.5286,172.6373"
qsr-place:2394,101 Bexley Road,"-43.5089,172.7166"
qsr-place:2436,101 Brighton Mall,"-43.5079,172.7284"
qsr-place:453,101 Deans Avenue,"-43.5330,172.6115"
qsr-place:553,101 Kingsford Street,"-43.5008,172.6741"
qsr-place:2802,101 Stour Drive,"-43.4961,172.6926"
qsr-place:405,101 Victoria Street,"-43.5242,172.6302"
qsr-place:1544,1013 Ferry Road,"-43.5575,172.7033"
qsr-place:1114,102 Armagh Street,"-43.5289,172.6361"
